Training Texts,Training Labels
"There aren't many overcoming-the-odds stories quite like that of Christy Brown. Born with cerebral palsy in 1930s Dublin, his parents thought his handicap was mental as well as physical. Though eventually properly diagnosed, Brown, in a lower working-class family with nearly 20 children, had to push himself just to be appreciated by his family. Through the use of his only fully-functioning limb, his left leg, he taught himself to write and paint, both skills he developed expertly. <br /><br />But what makes the film version of Brown's autobiography ""My Left Foot"" such a great retelling is its humility. Both director/writer Jim Sheridan and star Daniel Day-Lewis have managed to tell this story in a way that doesn't scream for attention and resort to melodrama. Cheesy struggles and scenes of frustration as well as glorious moments of minute victory are easy pitfalls of a story so miraculous, yet ""My Left Foot"" stays real and intrinsically inspired.<br /><br />Day-Lewis is the easiest to highlight. Playing anyone with such serious physical impairments has to be a demanding task. Not only does Day-Lewis give us a very complete picture of Christy, but he also manages to chronicle the growth, improvement and inner change of the character in different stages of his life. He plays Christy at 17 when he had limited language capability and was emotionally volatile just as crisply as he does the intellectually learned Christy who struggles to cope with why he can't find non-platonic love. The latter theme is the film's strongest and it would've been nice for Sheridan and co-adapter Shane Connaughton to really flesh that out. Regardless, Day-Lewis gets us to understand and sympathize with all those elements, giving a performance that's so believable you often don't have time to think ""wow, he's such a great actor."" Those are the most commendable performances.<br /><br />Equally important but through more subtle means is Sheridan's work on the film. This story is about day-to-day life and struggles. Although Christy has such a unique set of circumstances hampering his life, his struggles are not unlike our own and Sheridan grasps that concept completely. Christy struggles with love, parental attention, questions of self- worth and capability. His struggles are just more physically manifested (literally and figuratively) than ours. <br /><br />Sheridan gives us moments that capture the spirit of the large Brown family and Christy's unique place in it. The drama evolves naturally when tensions are highest and the humor comes in much the same way. The dinner scene when Christy learns that his doctor/teacher -- the woman he loves -- is going to marry his brother Peter is the film's finest example of both Day-Lewis and Sheridan's efforts. It's built up to so well by Sheridan that it comes out when we're ready and Day-Lewis takes us from there with his stunning work.<br /><br />The other strong component of the film is Brenda Fricker as Mrs. Brown. I did not know she'd won the Oscar, but there was something about her performances as Christy's loving and wise mother that just screamed Oscar-worthy. Her love for Christy and constant fighting for him just seems so convincing and heartfelt and she earns a lot of sympathy given her situation.<br /><br />The emotional punch of the film given the story is surprisingly minimal. Perhaps that was part of the sacrifice of trying to create a film that feels organically human. The two should be reconcilable, but I imagine it's challenging to tell a story that feels true-to-life and one that provides enough dramatic moments to take our emotions on a roller coaster. The choice to downplay the latter was definitely the wise one for ""My Left Foot."" Brown's circumstances speak for themselves -- they don't need to be squeezed for weightier dramatic impact.<br /><br />~Steven C<br /><br />Visit my site moviemusereviews.com for more",1
"It isn't the worst film ever made, the actors aren't apalling and the script and director are not completely inept. <br /><br />It isn't the best film ever made, the actors aren't excellent and the script and director are not completely brilliant.<br /><br />It falls somewhere in the middle. A fun somewhere. An enjoyable, well constructed somewhere.<br /><br />No need to say ""don't take it seriously"" or ""so bad its good"" or ""it wasn't scary"". None of these comments are relevant. <br /><br />Cut has atmosphere. It's that atmosphere which is actually very unique, and the one really original aspect of the movie, which personally is what makes the film, for me.",1
"Absolutely hilarious. John Waters' tribute to the people he loves most (Baltimoreans) is a twisted little ditty with plenty to look at and laugh at. It's like being turned loose in a museum of kitsch! I haven't laughed so much in a theater since Serial Mom. I loved seeing old friends from the Dreamland days, Sharon Nisep and Susan Lowe, back in front of Waters' camera. The cast is simply wonderful (especially Edward Furlong and Martha Plimpton). Uses the best elements of past Waters atrocities (especially the underrated Polyester) and plenty of new surprises. Made me sick, in a wonderful way. Thanks, John!",1
"I just saw ""Of Human Bondage"" for the first time a few days ago and WOW! What a mysterious and almost spooky film. I loved how the music went with the pace of each step of Philip's feet. It gave me the chills for some reason...<br /><br />One of the greatest aspects of this film is that you get to see Bette Davis coming into herself right before your eyes. She's great, not necessarily because this is her best work, but because it was so out of the ordinary to be so vicious, gritty, and unflinching as an actress in 1934... Bette was a risk taker, always wanting to be different and this is right about when she started to realize that she could be as nasty and daring as she wanted and people would love her for it. If you're a true lover of film, it's amazing to see...<br /><br />She just had a way of delivering a line that made the part, and the film for that matter, belong to her. Like ""A mass of music and fire. That's me...an old kazoo and some sparklers"" or ""But you are Blanche, you are in that chair!"" or ""WITH ALL MY HEART, I STILL LOVE THE MAN I KILLED!!""... Those are from a few of her films, but you get my drift. She was just so brave, sassy, and exotic looking with those beautiful big eyes. After seeing this, I can't believe it was remade twice...<br /><br />Leslie Howard was gorgeous...so calm and persistent, needing to be loved. I thought he was adorable and couldn't understand how everyone wasn't falling for him, but then again, everyone was...except Mildred. He did a great job...<br /><br />The only thing that I didn't like was something that was common with the writing in the early films. They'd make a character so hateful that it's almost unbelievable that someone would actually fall for them in the first place. The performances were great, but in real life, Philip would have never been interested in Mildred. That's just the simple truth... See it!!",1
"After playing a nymphomaniac in WRITTEN ON THE WIND, Dorothy Malone finally said good-bye to her sweet sister/wife roles and demonstrated an ability to play mantraps with the best of them. She and Gloria Grahame played the same sort of tramps--and for her efforts here in a very manipulative role, Malone won a Best Supporting Actress Oscar.<br /><br />The film she's in is not quite up to Oscar standards, but it is a strong enough melodrama under Douglas Sirk's capable hands. There's an almost noirish look to the explosive opening scene and it sets the tone for the rest of the sudsy fireworks in a story that has ROCK HUDSON, LAUREN BACALL, ROBERT STACK and DOROTHY MALONE as its headliners.<br /><br />Domestic squabbles among the inhabitants of a wealthy family with an oil background are the primary focus of the drama, with the accent on the strong supporting players, Stack and Malone. Both of them seize the opportunity with both hands and Stack, too, should have been awarded for his sterling job as the weak, alcoholic brother driven to desperation by his own wild motives.<br /><br />The nominal stars have less impressive work to do, but do it with their usual skill and conviction--Hudson and Bacall. They play their more sympathetic roles with quiet authority and understanding.<br /><br />The use of color is particularly striking (as it usually is in a Sirk film) and yet it doesn't preclude me from thinking of the film as a Technicolor film noir in the vein of LEAVE HER TO HEAVEN.<br /><br />Well worth watching with some interesting performances from the entire cast.",1
"This is one of the all-time great ""Our Gang"" shorts. Spanky is at his very cutest and funniest, and the babies that he get's left to babysit are also hilarious. Tiny Spanky is coerced by the gang into watching all their little siblings. The opening shot of them all in baby carriages, being entertained by various things hung by the gang from fishing poles is a beautiful gag.<br /><br />Spanky's appearance wearing his huge toy knife when asked to babysit by the older fellows is priceless, as is his response --""Hey, where do you get that stuff -- I don't take care of no babies!"" The tiny fellow saying ""remarkable"" throughout the film, all the beautiful sight gags, and Spanky telling the babies ""all about Tarzan"" add up to make this one of the best ""Our Gang""'s you'll ever see.",1
"You can debate Prince's acting talent, or even his choice to parody his own life in this film. There is no debate about his musical talent either then or now. He seems like a shadowy has-been twenty years later, but the music remains relevant and fantastic. <br /><br />Having lived through the hype of this movie (graduated high school in'85) I can tell you that there was nothing bigger at the time. From Tipper Gore (Al's wife) trying to censor ""Little Nikki"" and every thing else under the sun via the PMRC (Parents Music Resource Center) to every ""Air Band"" at the time impersonating Prince, it was the absolute hottest thing out. For a few weeks at least, Prince was bigger than Madonna and Michael Jackson. <br /><br />We all waited for the film and were soooooo excited when it premiered. It didn't disappoint. EVERYONE was caught up. I was an MTV junkie at the time(they actually played music then....all the time)Prince played at least once or twice an hour. I must qualify this commentary by saying that, at that time, my favorites were Billy Idol, Oingo Boingo, The Fixx, Flock of Seagulls and others in the Punk/ New Wave genre' The music of Prince at the time transcended all types and styles. One of the reasons that some of it seems so cheesy and contrite now is that it was SOOOOOOOO big then. All the things that remind you of the 80's were iconic then. It was mainstream and it seems like a cliché' now. It got so popular that it became ridiculous. It's like the rappin' Granny commercial for Wendy's Hamburgers. <br /><br />It looks stupid now because EVERYONE was caught up in it (sadly, kind of like a bizarre purple macarena or something. Anyway, I hope this gave you all a little insight.",1
"Go way back to page ten of this review section, and work your way back up. Go ahead; I'll wait.<br /><br />Done? Well, then you've probably noticed the same trend that I have. You could nitpick all day long about the lame jokes, dated timing and obviously derivative plot points and shtick in 'Bogus', but this movie seems to be one of those 'hate me now, love me later"" flicks.<br /><br />Bill and Ted's biggest problem was that the original appealed to those 80's kids who followed the tends and considered themselves on the cutting edge of fashion. That worked fine for the original, but obviously bombed in 1991, when no self-unrespecting slacker would be caught dead wearing anything but flannel or admitting he liked anything about the 80's. As Ted would put it: ""Dude, this is a totally deep hole. Wanna play 20 questions?"" <br /><br />They say nostalgia goes in 20 year cycles, and that certainly seems to be the case here. Here in 2010, those of use who grew up with Cindi Lauper and Megadeth are beginning to look back to appreciate some of those pivotal films that (like it or not) made us who we are. If you're one of those who look at 'Bogus' as if it were an outdated (""Fa gs!"") ripoff, then you're missing the point and probably spent six years growing facial hair, wearing flannel and looking like you just crawled out of bed.<br /><br />In self-referencing its own origins (the Star Trek episode"" and and time traveling with a phone booth), B&T makes no attempt to hide its creators' love for homage. Quentin Tarantino, anyone? I'm not saying 'Bogus' is 'True Love,' but I do think it needs to be appreciated for what it is: a fun snap-shot of our society at a time before child psychology, Ritalin, anti-smoking ads, terrorist paranoia and the proliferation of media fear-mongering. <br /><br />So, for all of you B&T haters out there...turn off your Screaming Trees CD, get that hair out of your face, go to the beach and lighten up. Narcissistic depression and intellectual ennui are SO corporate.",1
"Many reviews I've read reveals that most people tend to like Part One better than Part Two. I feel exactly the opposite. Part One played around a bit much with trying to find different ways of showing Che Guevara's personality through different types of film stock, different locations, and cutting back and forth between an interview and the Cuban revolution. For the most part it was structured finely but somewhat distracting. In Part Two, Che enters Bolivia, and along with changing geographical location, the rules and the structure changes. Gone are the spacial jumps and switching between stocks, the ""documentary realism"" and the treatises. Instead, now we are literally trapped with Che in a desaturated, depopulated landscape where the only people who exist are burdened too far with their lives for anything but survival to be an option. I posit that it's the dark turn of Che's life that is the real reason why most people prefer Part One to Part Two.<br /><br />The change in geographic location also signifies, for me at least, that Che: Part One and Che: Part Two are, in fact, the second two acts of a three act structure begun by Motorcycle Diaries. Motorcycle Diaries is Che's coming-of-age (or more appropriately, coming-of-ideals) in Argentina, Che: Part One is his military leadership in Cuba, and Che: Part Two is his downfall in Bolivia. These movies do not completely illustrate his life (we're missing his experiences in Guatamala and, more importantly in my opinion, his post-Cuban revolution executions), but they create a very detailed exploration into the controversial aspects of his character and nature as worldwide symbol. He both symbolizes the idealism and need for armed resistance to oppression, and revolutionary failings in the post-World War II third world countries and their hindering by such activities as, um, the CIAs meddling.<br /><br />But, yet again, all of that is projected on-screen in this case not through long scenes of dialog and speeches, but through a much more intimate, suffering portrayal of Che at the end of his thread and his life. Again, the rules have changed, and in this case it's hard to tell if there was any chance of success at all. The number of times the camera shows people literally trapped between a rock and a hard place and the desaturated, shaky long takes involves the audience into the narrative of people imprisoned in a hostile landscape, an existential hell, where revolutionary beliefs ultimately end up taking second tier to the desperation of hunted people starving to death. It's just not that easy of a movie to watch, but it's very effective.<br /><br />--PolarisDiB",1
"I watched part one two days ago and today I saw part two. Of course the two parts are worlds apart so I am a little shaken by all that I just saw. I felt consumed by the knowledge of the inevitability of Che's death; for me, it clouded the entire movie. I suppose that is exactly what Soderbergh wanted us to feel, the slowly evolving inevitability of his death. Part Two was so downbeat compared to, again an inevitability but in Cuba it was positive and in Bolivia it was so negative. The politics of the movement in Bolivia were only alluded to but rarely confronted didactically. For me the memorable scenes were all at the end of the film: the confrontation with the jailer and the milder talk with the Bolivian official where that official questions Che about the failure of the peasants to support his revolution. I had not considered the national differences playing as much role as they did in the conflict, Argentine versus Bolivian. I thought Soderbergh dealt admirably with the inevitable problems of supply in a revolutionary struggle; how do you get food without antagonizing the peasants who do not have enough themselves. I was struck by how hard it would be to try something as Che tried. I guess it is all in the timing; is there sufficient anger against the government to begin the movement; in Bolivia there wasn't. Che realized the terrible corundum of revolutionists in his letter to Fidel read at the beginning of the film: If not now, when, 50 years from now. A very thought provoking and well done film; make every effort to see it.",1
"I wanted to see Valentine ever since I saw that Denise Richards and Marley Shelton were in it because they had played in some of my favorite movies ever. When I watched Valentine, I was amazed at how great the story line actually was. It kills me to see that it has a low rating because it was not horrible at all. The actors and actresses played the parts wonderfully and the way it ended was so brilliant and cunning. Some scenes were a little unbelievable and or poor, and I admit at a few minor parts it got just a small bit boring, but overall it was non-stop entertaining and suspenseful. It had a mind-twisting story line which made you guess the whole way through and it doesn't deserve all the crap it gets. I recommend this movie to watch anytime, but especially on Valentine's Day because it's sure to give you a ton of chills. Oh, and don't even pay attention to the trailer OR rating, please, DON'T...",1
"I found this a bit hard to follow to the extent that it seemed to dip in the middle while I tried to make head or tail of who was fighting who and why. One of the problems is the cultural/language one. Here we have a Chinese/Taiwanese/Japanese problem of which we know little and because we are simply reading English subtitles inevitably loose some of the subtleties. Another problem is that there seem to be just too many only half explained twists and coincidences. Nevertheless, it seems unlikely that there is a wholly bad Miiki film and this certainly is not that. Plenty of stylish and bone crunching violence, a window upon some less than orthodox sexual goings on plus the family aspect. All in all a decent ride but maybe checking out the storyline might actually be helpful before watching this one.",1
"I saw this movie as a child and it broke my heart! No other story had such a unfinished ending... I grew up on many great anime movies and this was one of my favourites, because it was so unusual - a story about unfairness, and cruelty, and loneliness, and life, and choices that can't be undone, and the need for others. Chirin is made alone when the Wolf kills his mother, but the Wolf is alone, too, when Chirin follows him into the mountain. The Wolf doesn't kill the lamb, even though each night he says ""maybe I'll eat you tomorrow."" The tape of it I have is broken and degraded from age and use. I will repair it and watch the movie again someday and cry just as hard as I did as a child. Stories like this, with this depth and feeling, and this intricacy of meaning, are very rare. It is a sad story, but I've never encountered any catharsis more beautifully made. I am glad I have seen this movie, and I'm glad I saw it as a child.",1
